INSERT INTO Payment VALUES ('P0001', '05-JAN-2018', 3349.00, 'E-WALLET', 'BSN', '347877242169', '28-JAN-2018', 'B0001');
INSERT INTO Payment VALUES ('P0002', '10-JAN-2018', 1491.00, 'DEBIT CARD', 'AMBANK', '196188276281', '25-JAN-2018', 'B0002');
INSERT INTO Payment VALUES ('P0003', '22-JAN-2018', 1153.00, 'CREDIT CARD', 'HSBC BANK', '490266046391', '07-FEB-2018', 'B0003');
INSERT INTO Payment VALUES ('P0004', '28-JAN-2018', 1719.00, 'CASH', 'CIMB CLICKS', '644728952718', '11-FEB-2018', 'B0004');
INSERT INTO Payment VALUES ('P0005', '09-FEB-2018', 1891.00, 'CREDIT CARD', 'PUBLIC BANK', '903592998667', '27-FEB-2018', 'B0005');
INSERT INTO Payment VALUES ('P0006', '11-FEB-2018', 2709.00, 'CREDIT CARD', 'OCBC BANK', '714156649673', '11-MAR-2018', 'B0006');
INSERT INTO Payment VALUES ('P0007', '13-FEB-2018', 1855.00, 'E-WALLET', 'AFFIN BANK', '303767576662', '20-FEB-2018', 'B0007');
INSERT INTO Payment VALUES ('P0008', '17-FEB-2018', 2842.00, 'CREDIT CARD', 'AFFIN BANK', '519040354316', '13-MAR-2018', 'B0008');
INSERT INTO Payment VALUES ('P0009', '27-FEB-2018', 3798.00, 'CASH', 'AGROBANK', '144656482264', '09-MAR-2018', 'B0009');
INSERT INTO Payment VALUES ('P0010', '09-MAR-2018', 1547.00, 'DEBIT CARD', 'STANDARD CHARTERED', '739351017006', '18-MAR-2018', 'B0010');
INSERT INTO Payment VALUES ('P0011', '18-MAR-2018', 2374.00, 'E-WALLET', 'KFH', '596638401756', '20-MAR-2018', 'B0011');
INSERT INTO Payment VALUES ('P0012', '27-MAR-2018', 1531.00, 'CREDIT CARD', 'KFH', '653733237626', '16-APR-2018', 'B0012');
INSERT INTO Payment VALUES ('P0013', '08-APR-2018', 3649.00, 'DEBIT CARD', 'HSBC BANK', '563951155833', '19-APR-2018', 'B0013');
INSERT INTO Payment VALUES ('P0014', '20-APR-2018', 2736.00, 'CASH', 'BANK ISLAM', '602153865673', '07-MAY-2018', 'B0014');
INSERT INTO Payment VALUES ('P0015', '20-APR-2018', 2507.00, 'CASH', 'UOB BANK', '609775739777', '20-APR-2018', 'B0015');
INSERT INTO Payment VALUES ('P0016', '03-MAY-2018', 1569.00, 'DEBIT CARD', 'RHB BANK', '665577675355', '21-MAY-2018', 'B0016');
INSERT INTO Payment VALUES ('P0017', '08-MAY-2018', 1429.00, 'CREDIT CARD', 'AGROBANK', '596647248941', '27-MAY-2018', 'B0017');
INSERT INTO Payment VALUES ('P0018', '15-MAY-2018', 2380.00, 'CREDIT CARD', 'AGROBANK', '175342877457', '14-JUN-2018', 'B0018');
INSERT INTO Payment VALUES ('P0019', '19-MAY-2018', 1938.00, 'E-WALLET', 'AMBANK', '742215887221', '05-JUN-2018', 'B0019');
INSERT INTO Payment VALUES ('P0020', '22-MAY-2018', 2655.00, 'DEBIT CARD', 'HSBC BANK', '176265911900', '17-JUN-2018', 'B0020');
INSERT INTO Payment VALUES ('P0021', '03-JUN-2018', 2040.00, 'DEBIT CARD', 'AMBANK', '159574834548', '08-JUN-2018', 'B0021');
INSERT INTO Payment VALUES ('P0022', '04-JUN-2018', 1013.00, 'DEBIT CARD', 'CIMB CLICKS', '559630201374', '13-JUN-2018', 'B0022');
INSERT INTO Payment VALUES ('P0023', '07-JUN-2018', 2999.00, 'CASH', 'OCBC BANK', '105357349281', '15-JUN-2018', 'B0023');
INSERT INTO Payment VALUES ('P0024', '07-JUN-2018', 3889.00, 'DEBIT CARD', 'HONG LEONG BANK', '472814671127', '25-JUN-2018', 'B0024');
